# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 9.957s, Samples: 301
# Max Linear Vel: 0.476 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 4.237 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 0.730m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
3.159642 0.532927 -0.124227 0.462218 0.000000 0.000000 0.000000
3.190397 0.533241 -0.125269 0.462099 0.000000 0.000000 0.000000
3.222249 0.533454 -0.125977 0.462014 0.000000 0.000000 0.000000
3.253157 0.533469 -0.126011 0.462034 0.000000 0.000000 0.000000
3.283617 0.533162 -0.125043 0.462071 0.000000 0.000000 0.000000
3.331084 0.532931 -0.124328 0.462073 0.000000 0.000000 0.000000
3.362502 0.532430 -0.122769 0.462091 0.000000 0.000000 0.000000
3.393730 0.531650 -0.120346 0.462115 0.000000 0.000000 0.000000
3.442297 0.531108 -0.118546 0.462323 0.000000 0.000000 0.000000
3.472384 0.530260 -0.115764 0.462595 0.000000 0.000000 0.000000
3.504028 0.529672 -0.113820 0.462813 0.000000 0.000000 0.000000
3.535589 0.528693 -0.110563 0.463204 0.000000 0.000000 0.000000
3.566201 0.527444 -0.106479 0.463580 0.000000 0.000000 0.000000
3.597808 0.526507 -0.103429 0.463843 0.000000 0.000000 0.000000
3.629129 0.525293 -0.099592 0.463987 0.000000 0.000000 0.000000
3.662679 0.523949 -0.095429 0.464006 0.000000 0.000000 0.000000
3.691299 0.522373 -0.090758 0.463675 0.000000 0.000000 0.000000
3.723059 0.521216 -0.087449 0.463233 0.000000 0.000000 0.000000
3.754051 0.519848 -0.083526 0.462725 0.000000 0.000000 0.000000
3.785263 0.518853 -0.080787 0.462160 0.000000 0.000000 0.000000
3.816898 0.517569 -0.077155 0.461600 0.000000 0.000000 0.000000
3.848157 0.516090 -0.072968 0.460961 0.000000 0.000000 0.000000
3.879648 0.515051 -0.070060 0.460454 0.000000 0.000000 0.000000
3.911750 0.513686 -0.066293 0.459700 0.000000 0.000000 0.000000
3.942120 0.512088 -0.061729 0.459075 0.000000 0.000000 0.000000
3.973615 0.510910 -0.058327 0.458680 0.000000 0.000000 0.000000
4.005148 0.509426 -0.054191 0.457930 0.000000 0.000000 0.000000
4.036576 0.507837 -0.049790 0.457074 0.000000 0.000000 0.000000
4.066489 0.506195 -0.045407 0.455919 0.000000 0.000000 0.000000
4.144233 0.504978 -0.042163 0.455056 0.000000 0.000000 0.000000
4.175115 0.503504 -0.038150 0.454150 0.000000 0.000000 0.000000
4.206883 0.502457 -0.035349 0.453420 0.000000 0.000000 0.000000
4.236825 0.501226 -0.031996 0.452669 0.000000 0.000000 0.000000
4.269025 0.499993 -0.028609 0.451961 0.000000 0.000000 0.000000
4.301629 0.499080 -0.026298 0.451105 0.000000 0.000000 0.000000
4.332191 0.498217 -0.024017 0.450462 0.000000 0.000000 0.000000
4.363248 0.497408 -0.021620 0.450287 0.000000 0.000000 0.000000
4.396459 0.496893 -0.020208 0.449989 0.000000 0.000000 0.000000
4.426604 0.496542 -0.019419 0.449492 0.000000 0.000000 0.000000
4.457186 0.496413 -0.019229 0.449142 0.000000 0.000000 0.000000
4.487234 0.496303 -0.019063 0.448854 0.000000 0.000000 0.000000
4.518274 0.496708 -0.020552 0.448452 0.000000 0.000000 0.000000
4.553312 0.497356 -0.022453 0.448624 0.000000 0.000000 0.000000
4.581352 0.497871 -0.023858 0.448934 0.000000 0.000000 0.000000
4.613069 0.498754 -0.026226 0.449534 0.000000 0.000000 0.000000
4.643462 0.499927 -0.029221 0.450594 0.000000 0.000000 0.000000
4.689719 0.500785 -0.031350 0.451467 0.000000 0.000000 0.000000
4.721756 0.502045 -0.034537 0.452651 0.000000 0.000000 0.000000
4.751714 0.503659 -0.038721 0.453993 0.000000 0.000000 0.000000
4.782793 0.504960 -0.042163 0.454962 0.000000 0.000000 0.000000
4.814261 0.506566 -0.046624 0.455798 0.000000 0.000000 0.000000
4.845719 0.508451 -0.051886 0.456741 0.000000 0.000000 0.000000
4.892405 0.509898 -0.055928 0.457461 0.000000 0.000000 0.000000
4.924040 0.511606 -0.060614 0.458449 0.000000 0.000000 0.000000
4.955090 0.513495 -0.065906 0.459363 0.000000 0.000000 0.000000
4.986178 0.514948 -0.069904 0.460182 0.000000 0.000000 0.000000
5.016694 0.516802 -0.075187 0.460926 0.000000 0.000000 0.000000
5.048290 0.518705 -0.080647 0.461629 0.000000 0.000000 0.000000
5.080906 0.520178 -0.084829 0.462246 0.000000 0.000000 0.000000
5.111893 0.521846 -0.089704 0.462713 0.000000 0.000000 0.000000
5.142481 0.523504 -0.094756 0.462829 0.000000 0.000000 0.000000
5.175537 0.524819 -0.098781 0.462890 0.000000 0.000000 0.000000
5.205710 0.526021 -0.102451 0.462965 0.000000 0.000000 0.000000
5.236462 0.527153 -0.106052 0.462791 0.000000 0.000000 0.000000
5.283573 0.528115 -0.109089 0.462678 0.000000 0.000000 0.000000
5.315024 0.528803 -0.111275 0.462578 0.000000 0.000000 0.000000
5.348567 0.529362 -0.112944 0.462674 0.000000 0.000000 0.000000
5.378645 0.529750 -0.114136 0.462687 0.000000 0.000000 0.000000
5.412226 0.530058 -0.115073 0.462710 0.000000 0.000000 0.000000
5.443799 0.530202 -0.115499 0.462740 0.000000 0.000000 0.000000
5.473849 0.530257 -0.115626 0.462810 0.000000 0.000000 0.000000
5.505203 0.530308 -0.115775 0.462826 0.000000 0.000000 0.000000
5.528141 0.530275 -0.115676 0.462820 0.000000 0.000000 0.000000
5.590792 0.530263 -0.115614 0.462864 0.000000 0.000000 0.000000
5.611807 0.530236 -0.115481 0.462950 0.000000 0.000000 0.000000
5.646600 0.530245 -0.115502 0.462959 0.000000 0.000000 0.000000
5.685728 0.530259 -0.115492 0.463048 0.000000 0.000000 0.000000
